"","H10","H11","H13","H14","H17","H18","H19","H2","H20","H21","H22","H23","H24","H25","H26","H28","H29","H3","H30","H31","H33","H34","H35","H36","H38","H39","H4","H40","H41","H42","H6","H7","H8"
"gene37861",0.063313873103929,-0.118543578941411,0.273606967529305,0.543287824961149,0.13556337569051,0.0251347490035011,0.803266178760653,1.01040642282362,0.674783168052576,0.315858695334305,-0.583159831320238,0.230849663863566,0.584253392044391,0.323317958690976,0.429320411122698,0.427864969648687,0.509082510907587,0.142458424024105,0.196111477334153,0.365977224508795,0.540373274045407,0.623882739585407,0.191241512748565,0.618722427101731,-0.320639328786958,0.0323040367565177,-0.710208251685692,0.390156653950126,0.595293147421825,0.18469585910251,-1.07906322770126,0.428736901018655,0.29196038883179
"gene3247",-0.29547797675046,0.0108464103770312,0.413172745729185,0.197626437527837,0.270881623048045,0.0993765214738946,1.3279409822931,0.605764367748564,-0.350563508591943,-0.234253148178625,-0.134179281106342,0.585258248981997,0.147383983725218,-0.0063866881834915,-0.79331276029736,-0.129121496117355,0.234574351691848,-0.845617802226035,0.704617091827665,2.00374156387389,1.26603009200821,1.19102004112924,0.511102233646794,-0.387269750208312,1.3188938122703,0.338984546897122,-1.52829250619735,1.03044739658042,0.885324716636923,1.10069439278011,-1.36177598153807,0.370174123955657,0.0610349298471968
"gene14412",-0.0853576575629007,1.01167555089563,0.0246890310576719,0.133456484839862,0.353795559663947,0.353622151473059,0.658277535845816,1.61658283120149,0.0927626281770382,0.454396118450708,0.0913490674576208,0.395858853465433,0.305814891841007,0.351957202244463,0.306467902808781,0.193739220247902,0.320030848393926,-0.316938408716503,0.781707909204848,0.783805878970493,1.18548625211068,1.1055316968256,-0.208078971614702,0.39880732908176,0.495669279584853,0.0177813840167153,0.270920747423043,0.476368876495054,0.0184602124472244,0.436750069338692,-0.859727223364542,-0.436942872955925,-0.196310586668952
"gene40066",0.576800776813094,-0.298680903953567,0.553722577674569,0.366201068253986,0.293601897449333,-0.0823733719757661,0.911737654856038,0.70424574018431,0.129559595335233,0.0781341178509496,0.810255619547426,0.360956041988293,0.804710146514231,-0.0214942070795377,0.627052490353785,0.445372817802639,0.726612944395552,0.209479217914963,0.577592850663961,-0.157261141948337,0.747356618248601,1.05333984796162,-0.214312608227636,0.53424654319103,0.938068684953538,-0.0796574113099875,-0.371615323016911,0.929596419034986,0.394085404377692,0.00937076296638476,-1.40307720215561,0.109802308380549,0.100270946688483
"gene16670",-0.0450036722183929,-0.431198443177576,0.300457440934873,0.0350990645987528,-0.0125788031874816,0.0798693662841676,0.182380921298543,0.143334294482837,-0.204534983340359,-0.198698672004835,-0.0252530821453233,0.301002466480537,0.302353728962734,0.248648981325743,-0.356973489655383,-0.115452316212224,0.118469693403211,-0.487573511370564,0.108153297037507,0.352388386647003,0.94359320236091,0.826588931316729,0.0287062889802934,-0.00145246297554438,0.752004312991022,0.0721942075971769,-0.346589922387949,0.737736861935494,0.473327387987484,0.246077584420426,-0.67634511722967,0.0486998207544009,0.13326933743988
"gene38306",-0.0236358384397572,0.156181111947732,0.148351990868284,0.102736604142318,0.165135599329316,-0.143350031794486,-0.998761403973956,0.0785209148771961,0.0229445740756265,-0.141190017507513,-0.163695015656374,-0.174864527667484,-0.12799303493392,-0.00791770185802239,0.0821505520050039,-0.0548111078115571,-0.199215744804318,-0.331804709726995,-0.0322864513524256,-0.0107284818095834,-0.242136447001428,-0.636406753091823,-0.173874943963288,-0.196477073283116,-0.72066390819472,-0.00205375197058942,-0.187577384990587,-0.513705443898521,-0.3070488075032,-0.412622319257507,-0.269225638261682,0.124029057760843,-0.128890577954196
"gene16713",-0.207206469194504,0.471273909607911,0.263485810634767,0.119526818007216,0.17206682132215,0.169851897981441,0.654675281169653,1.41161182190478,-0.337924214113399,0.420521807900454,-0.426906539309547,0.412906560212147,0.0572686147276014,0.217520505215942,-0.111091309861106,0.332868247670815,0.199626219110752,-0.282708241568346,-0.0021542760388476,0.878386713464195,0.961612096908855,0.757939111321621,0.174732286529507,-0.350718579347862,0.737277089996398,0.242404447706866,-0.757407949573741,0.3626512697746,0.524590071493104,0.961938760579002,-0.493200488004404,0.00773115250280036,0.0111545729947816
"gene26343",-0.371614439447981,0.606363723714924,0.105649155204943,0.295915239258549,0.345976725233462,0.453392203376221,1.67477584201532,1.2207608196491,-0.235303464748962,0.479680716108598,-0.353900447289187,0.68076237338326,-0.0890839468861999,0.226461439633417,-0.223674065976514,-0.0393711754789999,0.299259479430353,-0.729201775239334,0.734491335182092,2.31887097708652,1.48187710629199,0.993980924287486,0.624566007803277,-0.42138244065619,1.21164594476242,0.446346374484947,-0.712268545456758,0.80892842223582,0.468469050663643,1.39623773724306,-0.860777372846989,-0.29157847073762,0.247431121522869
"gene10508",0.0906276854906518,0.350275687919743,0.124158238448052,0.216067033207307,-0.223274228708063,-0.675261965237511,-0.678703263482899,-0.127757968521318,0.0384201279053629,-0.416558147839763,-0.0146864898043499,-0.115557864817758,-0.0178231551484812,0.117403323015533,0.36302211209372,-0.151524380340979,-0.416565228119118,0.117674624477654,-0.0191758366751587,0.0630746811477958,-0.220114627920504,-0.579885729194368,-0.138478533810297,-0.0439186176696226,-0.643819970270373,-0.0208217301993967,0.0501059115874091,-0.973060966784007,-0.400291607240995,-0.377758842377059,-0.497567530033294,-0.0040132103576158,-0.275418182840231
"gene3842",0.0358990811019299,0.932074772627361,-0.0577589040825659,0.859268694206539,0.616531750804818,-0.329733510415487,0.871214916631311,1.47080980618045,0.406355420965625,0.252457860817742,-0.260686465006048,0.3090112689765,0.753472810917207,0.49790713471921,0.430903772757302,-0.198927227180668,0.165934530923637,-0.143973680745202,0.605430326796389,2.11226942100121,1.41848454181467,1.44619524034007,0.325606595148842,-0.266532461680956,-0.0392451713714178,-0.0842463329388307,-0.807696587285115,0.53815528200639,0.205730329484269,0.879292893589067,-1.4601774547437,0.165161150911956,-0.229081358360399
